timestamp,node-stores,bus_access,skb_kfree_skb,cpu_cycles,l2d_cache_wb_victim,syscalls_sys_enter_fcntl,sched_sched_stat_runtime,st_spec,syscalls_sys_enter_kill,fib_fib_table_lookup,sock_inet_sock_set_state,l2d_cache_wb,unaligned_st_spec,mem_access_rd,l2d_cache_refill_wr,mmc_mmc_request_start,br_mis_pred,benign_prob,attack_prob,prediction
2025-07-30T16:01:20.535747,18163,94687,8.0,3890745,3205,4158.0,3699659730.0,430904,26.0,66.0,49.0,3205,63,637886,1524,20.0,15299,0.5942471,0.4057529,0
2025-07-30T16:01:25.658005,17866,84374,11.0,4064155,3147,4370.0,3701593208.0,429902,25.0,71.0,48.0,3147,63,635055,1575,102.0,15827,0.843143,0.15685701,0
2025-07-30T16:01:30.776710,18320,80912,9.0,3677488,3246,4702.0,3760033604.0,443103,26.0,59.0,46.0,3246,68,634896,1519,35.0,15592,0.73943865,0.26056135,0
2025-07-30T16:01:35.892908,17578,74761,10.0,3945931,3132,4700.0,3779171616.0,436931,26.0,89.0,50.0,3132,67,631425,1672,92.0,15905,0.6955967,0.30440328,0
2025-07-30T16:01:41.022522,17264,81501,12.0,3722907,3288,4696.0,3781485485.0,429143,26.0,76.0,48.0,3288,66,626624,1572,86.0,16600,0.579955,0.420045,0
2025-07-30T16:01:46.325048,19558,77596,8.0,3791544,3689,4699.0,3707550528.0,441186,26.0,54.0,47.0,3689,66,644522,1777,88.0,15457,0.72304094,0.2769591,0
2025-07-30T16:01:51.461670,17918,77801,13.0,3782349,3310,4731.0,3761470397.0,429653,26.0,90.0,48.0,3310,66,636116,1561,99.0,15700,0.8383409,0.16165915,0
2025-07-30T16:01:56.566516,17651,80571,9.0,3762073,3122,4710.0,4074384518.0,431194,25.0,55.0,47.0,3122,71,627194,1639,26.0,16216,0.6093172,0.39068282,0
2025-07-30T16:02:01.700290,17748,77849,9.0,4081073,4504,4702.0,3801601776.0,436341,26.0,66.0,48.0,4504,64,635958,1835,101.0,15498,0.80365545,0.19634457,0
2025-07-30T16:02:06.818828,18286,78804,10.0,3806972,3218,4712.0,3780330080.0,436049,26.0,64.0,48.0,3218,69,638325,1584,100.0,15420,0.85974276,0.14025725,0
2025-07-30T16:02:11.924187,19108,80203,9.0,3736921,3015,4773.0,3809460657.0,426393,26.0,59.0,47.0,3015,70,643001,1708,90.0,16820,0.7062126,0.29378742,0
