timestamp,node-stores,bus_access,skb_kfree_skb,cpu_cycles,l2d_cache_wb_victim,syscalls_sys_enter_fcntl,syscalls_sys_exit_fcntl,sched_sched_stat_runtime,st_spec,syscalls_sys_enter_kill,fib_fib_table_lookup,sock_inet_sock_set_state,l2d_cache_wb,unaligned_st_spec,mem_access_rd,l2d_cache_refill_wr,mmc_mmc_request_start,br_mis_pred
2025-07-30T16:00:03.444222,17623,101520,60956299,4117992,3230,24068591,24068591,24359451997516,429205,141354,459751685,275124,3230,67,644251,1618,467482,15639
2025-07-30T16:00:08.578184,17054,80486,60956308,3821340,3078,24073257,24073257,24363316068330,436164,141380,459751748,275174,3078,69,629863,1477,467502,16513
2025-07-30T16:00:13.698096,17462,99778,60956318,3670620,3272,24077939,24077939,24367063830947,439060,141406,459751817,275221,3272,65,636517,1615,467586,15327
2025-07-30T16:00:18.874313,18929,80684,60956327,3775025,3136,24082635,24082635,24370766238632,436907,141432,459751872,275267,3136,63,634047,1569,467604,15590
2025-07-30T16:00:24.049417,18041,78297,60956336,4046859,3210,24087334,24087334,24374611104900,439518,141458,459751937,275315,3210,66,627126,1637,467636,15589
2025-07-30T16:00:29.174157,17976,78340,60956349,3857660,3122,24092043,24092043,24378308347104,437654,141484,459752014,275365,3122,67,656609,1529,467654,16124
2025-07-30T16:00:34.301593,16779,74799,60956360,3740987,5876,24096730,24096730,24382524460106,433453,141510,459752079,275412,5876,70,630138,1728,467674,15407
2025-07-30T16:00:39.435400,18405,83089,60956368,3877948,3291,24101435,24101435,24386264889342,435943,141536,459752147,275460,3291,69,640055,1588,467780,15605
2025-07-30T16:00:44.561667,17411,88401,60956382,3735227,3094,24106116,24106116,24390041840608,429624,141561,459752210,275510,3094,63,632162,1457,467880,16149
2025-07-30T16:00:49.732636,18003,82013,60956390,3765737,3128,24110836,24110836,24393865689191,439093,141587,459752278,275557,3128,62,631838,1502,467960,15538
2025-07-30T16:00:54.890443,17282,78835,60956400,3835703,3085,24115534,24115534,24397692962998,432565,141613,459752345,275605,3085,65,635208,1516,468076,15300
2025-07-30T16:01:00.038306,18912,85349,60956418,3859013,3462,24124947,24124947,24405125468051,435189,141665,459752470,275700,3462,64,630647,1568,468198,16060
2025-07-30T16:01:05.137984,17123,84005,60956427,3793593,3285,24129709,24129709,24408926991571,441602,141690,459752536,275747,3285,63,638343,1659,468282,15606
2025-07-30T16:01:10.248983,17493,83301,60956436,3729285,3033,24134171,24134172,24412687337557,430372,141716,459752596,275794,3033,69,640228,1645,468360,17306
2025-07-30T16:01:15.391892,18163,94687,60956444,3890745,3205,24138329,24138329,24416386997287,430904,141742,459752662,275843,3205,63,637886,1524,468380,15299
2025-07-30T16:01:20.535747,17866,84374,60956455,4064155,3147,24142699,24142699,24420088590495,429902,141767,459752733,275891,3147,63,635055,1575,468482,15827
2025-07-30T16:01:25.658005,18320,80912,60956464,3677488,3246,24147401,24147401,24423848624099,443103,141793,459752792,275937,3246,68,634896,1519,468517,15592
2025-07-30T16:01:30.776710,17578,74761,60956474,3945931,3132,24152101,24152101,24427627795715,436931,141819,459752881,275987,3132,67,631425,1672,468609,15905
2025-07-30T16:01:35.892908,17264,81501,60956486,3722907,3288,24156797,24156797,24431409281200,429143,141845,459752957,276035,3288,66,626624,1572,468695,16600
2025-07-30T16:01:41.022522,19558,77596,60956494,3791544,3689,24161496,24161496,24435116831728,441186,141871,459753011,276082,3689,66,644522,1777,468783,15457
2025-07-30T16:01:46.325048,17918,77801,60956507,3782349,3310,24166227,24166227,24438878302125,429653,141897,459753101,276130,3310,66,636116,1561,468882,15700
2025-07-30T16:01:51.461670,17651,80571,60956516,3762073,3122,24170937,24170937,24442952686643,431194,141922,459753156,276177,3122,71,627194,1639,468908,16216
2025-07-30T16:01:56.566516,17748,77849,60956525,4081073,4504,24175639,24175639,24446754288419,436341,141948,459753222,276225,4504,64,635958,1835,469009,15498
2025-07-30T16:02:01.700290,18286,78804,60956535,3806972,3218,24180351,24180351,24450534618499,436049,141974,459753286,276273,3218,69,638325,1584,469109,15420
2025-07-30T16:02:06.818828,19108,80203,60956544,3736921,3015,24185124,24185124,24454344079156,426393,142000,459753345,276320,3015,70,643001,1708,469199,16820
2025-07-30T16:02:11.924187,17258,80721,60956552,4141712,3205,24189835,24189835,24458066681616,425127,142026,459753410,276368,3205,65,637642,1512,469293,15769
2025-07-30T16:02:17.032672,17250,82324,60956563,3871657,3449,24194529,24194529,24461720652727,433926,142051,459753480,276415,3449,75,634876,1626,469317,15441
2025-07-30T16:02:22.286907,17378,81579,60956571,3896134,3178,24199266,24199266,24465558474272,445664,142077,459753565,276466,3178,67,638102,1555,469407,15735
2025-07-30T16:02:27.415101,17591,84169,60956582,3844891,3017,24203875,24203876,24469549967973,435814,142103,459753644,276515,3017,67,643423,1749,469496,15537
2025-07-30T16:02:32.549262,17091,78908,60956591,4658012,3182,24208055,24208057,24473165439988,437623,142129,459753701,276562,3182,65,635764,1501,469589,15535
2025-07-30T16:02:37.666820,17900,80293,60956599,3829204,3195,24212284,24212284,24477010846632,436105,142154,459753761,276609,3195,70,631482,1682,469683,15796
2025-07-30T16:02:42.779944,17555,83792,60956609,3911069,3028,24216988,24216988,24480746085219,428712,142180,459753833,276657,3028,65,636452,1570,469701,15663
